timestamp,entry_time,entry_price,exit_time,exit_price,direction,pnl,grade,strategy,stop_loss,take_profit,duration_min,trade_type
2025-12-11T04:30:00-05:00,2025-12-11T04:30:00-05:00,25512.375,2025-12-11T04:45:00-05:00,25570.125,long,228.52,A,unicorn,25481.5,25571.125,15,backtest
2025-12-08T13:45:00-05:00,2025-12-08T13:45:00-05:00,25692.875,2025-12-08T14:00:00-05:00,25671.625,short,82.52,C,sweep_fvg,25705.5,25670.625,15,backtest
2025-12-08T14:30:00-05:00,2025-12-08T14:30:00-05:00,25692.875,2025-12-08T14:45:00-05:00,25671.625,short,82.52,B,sweep_fvg,25705.5,25670.625,15,backtest
2025-12-08T15:45:00-05:00,2025-12-08T15:45:00-05:00,25766.875,2025-12-08T16:00:00-05:00,25712.625,short,214.52,C,unicorn,25796.0,25711.625,15,backtest
2025-12-08T23:30:00-05:00,2025-12-08T23:30:00-05:00,25711.625,2025-12-08T23:45:00-05:00,25690.375,short,82.52,C,ote_entry,25724.25,25689.375,15,backtest
2025-12-11T07:00:00-05:00,2025-12-11T07:00:00-05:00,25512.375,2025-12-11T07:15:00-05:00,25570.125,long,228.52,C,sweep_fvg,25481.5,25571.125,15,backtest
2025-12-09T00:15:00-05:00,2025-12-09T00:15:00-05:00,25680.125,2025-12-09T01:00:00-05:00,25660.375,short,76.52,B,ote_entry,25692.0,25659.375,45,backtest
2025-12-11T07:15:00-05:00,2025-12-11T07:15:00-05:00,25577.5,2025-12-11T07:30:00-05:00,25600.0,long,87.52,C,sweep_fvg,25564.25,25601.0,15,backtest
2025-12-09T01:00:00-05:00,2025-12-09T01:00:00-05:00,25680.125,2025-12-09T01:15:00-05:00,25660.375,short,76.52,C,sweep_fvg,25692.0,25659.375,15,backtest
2025-12-09T01:30:00-05:00,2025-12-09T01:30:00-05:00,25680.125,2025-12-09T02:00:00-05:00,25693.0,short,-53.98,B,ote_entry,25692.0,25659.375,30,backtest
2025-12-09T02:00:00-05:00,2025-12-09T02:00:00-05:00,25711.625,2025-12-09T02:15:00-05:00,25690.375,short,82.52,B,ote_entry,25724.25,25689.375,15,backtest
2025-12-09T02:45:00-05:00,2025-12-09T02:45:00-05:00,25711.625,2025-12-09T03:00:00-05:00,25690.375,short,82.52,B,ote_entry,25724.25,25689.375,15,backtest
2025-12-09T03:00:00-05:00,2025-12-09T03:00:00-05:00,25669.5,2025-12-09T03:15:00-05:00,25702.5,long,129.52,B,sweep_fvg,25651.0,25703.5,15,backtest
2025-12-09T03:45:00-05:00,2025-12-09T03:45:00-05:00,25669.5,2025-12-09T04:30:00-05:00,25650.0,long,-80.48,B,sweep_fvg,25651.0,25703.5,45,backtest
2025-12-09T04:45:00-05:00,2025-12-09T04:45:00-05:00,25660.875,2025-12-09T05:00:00-05:00,25672.75,short,-49.98,C,sweep_fvg,25671.75,25642.125,15,backtest
